"";"FocusSchool";"which.1";"which.2";"which.3"
"1";"Hazel Wolf K-8";"James Baldwin Elementary School";"Olympic Hills Elementary School";"Sacajawea Elementary School"
"2";"Rainier View Elementary School";"Emerson Elementary School";"South Shore PK-8 School";"Dunlap Elementary School"
"3";"Arbor Heights Elementary School";"Roxhill Elementary School";"Highland Park Elementary School";"Gatewood Elementary School"
"4";"Emerson Elementary School";"South Shore PK-8 School";"Dunlap Elementary School";"Rainier View Elementary School"
"5";"South Shore PK-8 School";"Dunlap Elementary School";"Wing Luke Elementary School";"Emerson Elementary School"
"6";"Concord International School";"Highland Park Elementary School";"Rising Star Elementary School";"Wing Luke Elementary School"
"7";"Dunlap Elementary School";"South Shore PK-8 School";"Wing Luke Elementary School";"Rising Star Elementary School"
"8";"Highland Park Elementary School";"Sanislo Elementary School";"Concord International School";"Roxhill Elementary School"
"9";"Rising Star Elementary School";"Wing Luke Elementary School";"Dunlap Elementary School";"South Shore PK-8 School"
"10";"Wing Luke Elementary School";"Rising Star Elementary School";"Dunlap Elementary School";"South Shore PK-8 School"
"11";"Roxhill Elementary School";"West Seattle Elementary School";"Gatewood Elementary School";"Sanislo Elementary School"
"12";"Sanislo Elementary School";"Louisa Boren STEM K-8";"West Seattle Elementary School";"Roxhill Elementary School"
"13";"Gatewood Elementary School";"West Seattle Elementary School";"Roxhill Elementary School";"Fairmount Park Elementary School"
"14";"Martin Luther King Jr. Elementary School";"Graham Hill Elementary School";"Wing Luke Elementary School";"Orca K-8 School"
"15";"West Seattle Elementary School";"Roxhill Elementary School";"Gatewood Elementary School";"Sanislo Elementary School"
"16";"Graham Hill Elementary School";"Martin Luther King Jr. Elementary School";"Orca K-8 School";"Wing Luke Elementary School"
"17";"Dearborn Park International School";"Orca K-8 School";"Hawthorne Elementary School";"Maple Elementary School"
"18";"Fairmount Park Elementary School";"West Seattle Elementary School";"Louisa Boren STEM K-8";"Gatewood Elementary School"
"19";"Orca K-8 School";"Graham Hill Elementary School";"Hawthorne Elementary School";"Martin Luther King Jr. Elementary School"
"20";"Maple Elementary School";"Dearborn Park International School";"Kimball Elementary School";"John Muir Elementary School"
"21";"Pathfinder K-8 School";"Louisa Boren STEM K-8";"Fairmount Park Elementary School";"Sanislo Elementary School"
"22";"Hawthorne Elementary School";"John Muir Elementary School";"Orca K-8 School";"Kimball Elementary School"
"23";"Genesee Hill Elementary";"Alki Elementary School";"Lafayette Elementary School";"Fairmount Park Elementary School"
"24";"John Muir Elementary School";"Kimball Elementary School";"Hawthorne Elementary School";"Thurgood Marshall Elementary"
"25";"Alki Elementary School";"Genesee Hill Elementary";"Lafayette Elementary School";"Fairmount Park Elementary School"
"26";"Kimball Elementary School";"John Muir Elementary School";"Beacon Hill International School";"Hawthorne Elementary School"
"27";"Lafayette Elementary School";"Alki Elementary School";"Genesee Hill Elementary";"Pathfinder K-8 School"
"28";"Beacon Hill International School";"Thurgood Marshall Elementary";"Kimball Elementary School";"Bailey Gatzert Elementary School"
"29";"Thurgood Marshall Elementary";"Beacon Hill International School";"Leschi Elementary School";"Bailey Gatzert Elementary School"
"30";"Bailey Gatzert Elementary School";"Thurgood Marshall Elementary";"Beacon Hill International School";"Leschi Elementary School"
"31";"Leschi Elementary School";"Madrona K-5 School";"Thurgood Marshall Elementary";"Bailey Gatzert Elementary School"
