"";"School";"MatchName";"Building Condition Score";"# Portables";"Right-Sized Capacity";"Enrollment";"% Capacity";"Annual % Change (2010-)";"Annual % Change (2018-)";"Title I";"Female";"Gender X";"Male";"American Indian/ Alaskan Native";"Asian";"Black/ African American";"Hispanic/ Latino of any race(s)";"Native Hawaiian/ Other Pacific Islander";"Two or More Races";"White";"English Language Learners";"Foster Care";"Homeless";"Low-Income";"Migrant";"Military Parent";"Mobile";"Section 504";"Students with Disabilities";"Belonging & Relationships";"College & Career Readiness";"Equity / Anti-racism";"Identity and Culturally Responsive Teaching";"Inclusionary practices";"Literacy";"Math";"Pedagogical Effectiveness";"Positive Behavior & Safety";"Science";"Social Emotional Learning";"Student Voice & Leadership";"Multi-Language Learners";"Highly Capable";"Medically Fragile";"Extended Resource";"Focus";"Distinct";"Socio-economic Disparity Score";"Health Disparity Score";"Foreign Born";"ELL";"POC";"Best";"Still Desirable";"Definitely Declining";"Hazardous"
"1";"Adams  ";"AdamsElementarySchool";2,69;2;396;303;"76.5%";"-2.7%";"-11.8%";"No";"45.9%";"1%";"53.1%";"0.3%";"2.6%";"4%";"9.2%";"0.3%";"12.2%";"71.3%";"6.3%";"0%";"0.3%";"13.9%";"0%";"0%";"0.3%";"5.9%";"14.5%";"86%";"49%";"94%";"79%";"89%";"89%";"75%";"89%";"88%";"59%";"91%";"83%";"No";"No";"No";"No";"Yes";"No";0,32;0,324;"13.6%";"3%";"25.5%";"0.5%";"36.3%";"63.2%";"0%"
"2";"Alki  ";"AlkiElementarySchool";NA;0;330;271;"82.1%";"-2.5%";"-5.9%";"No";"47.2%";"0.7%";"52%";"0%";"3.3%";"2.6%";"10%";"0%";"19.2%";"64.9%";"3.7%";"0%";"1.1%";"13.3%";"0%";"1.1%";"1.1%";"3%";"16.6%";"86%";"61%";"93%";"85%";"92%";"89%";"79%";"94%";"87%";"63%";"93%";"88%";"No";"No";"No";"No";"No";"No";0,387;0,407;"10.6%";"2%";"22.2%";"8.3%";"65.3%";"16.8%";"9.6%"
"3";"Arbor Heights  ";"ArborHeightsElementarySchool";1,21;0;550;514;"93.5%";"4%";"-3.1%";"No";"50.2%";"0.2%";"49.6%";"0.6%";"4.1%";"3.5%";"17.3%";"0%";"11.3%";"63.2%";"5.1%";"0%";"1%";"20.8%";"0%";"0.6%";"0.4%";"3.7%";"17.3%";"86%";"56%";"91%";"82%";"88%";"84%";"72%";"89%";"87%";"64%";"90%";"80%";"No";"No";"No";"Yes";"Yes";"No";0,504;0,621;"12.9%";"6.7%";"34.2%";"0%";"70.6%";"19.6%";"9.8%"
"4";"B F Day  ";"BFDayElementarySchool";3,1;0;352;414;"117.6%";"2.1%";"1.4%";"No";"48.6%";"0.7%";"50.7%";"0.5%";"10.1%";"4.8%";"6%";"0%";"16.9%";"61.6%";"6%";"0%";"1.4%";"15.5%";"0%";"0%";"1.9%";"1.9%";"14%";"80%";"56%";"89%";"76%";"86%";"88%";"74%";"85%";"81%";"67%";"88%";"84%";"No";"No";"No";"Yes";"No";"No";0,292;0,293;"11.7%";"2.7%";"26.5%";"0%";"48.7%";"45.9%";"5.4%"
"5";"Bailey Gatzert  ";"BaileyGatzertElementarySchool";3,34;1;300;363;"121%";"-0.9%";"3.1%";"Yes";"49.9%";"0%";"50.1%";"1.7%";"5.8%";"60.3%";"9.6%";"0.8%";"9.4%";"12.4%";"33.1%";"0%";"9.4%";"80.7%";"0.3%";"1.1%";"2.2%";"2.2%";"15.7%";"85%";"70%";"87%";"79%";"85%";"80%";"83%";"86%";"87%";"73%";"90%";"79%";"No";"No";"No";"No";"Yes";"Yes";0,739;0,622;"23.8%";"11.4%";"55.5%";"0%";"0%";"0%";"100%"
"6";"Beacon Hill International ";"BeaconHillInternationalSchool";3,36;0;360;349;"96.9%";"-2.4%";"-4.4%";"Yes";"49.6%";"0.6%";"49.9%";"0.3%";"31.2%";"4.3%";"33.2%";"0%";"12.9%";"18.1%";"43.3%";"0%";"4.3%";"48.1%";"0%";"0.3%";"0.6%";"5.2%";"12.3%";"82%";"64%";"84%";"81%";"89%";"81%";"86%";"87%";"81%";"73%";"89%";"72%";"No";"No";"No";"No";"No";"No";0,729;0,592;"27.1%";"15.8%";"59.2%";"0%";"9.7%";"8.1%";"82.2%"
"7";"Catharine Blaine K-8 ";"CatharineBlaineK8School";3,57;7;595;441;"74.1%";"-1.9%";"-10.3%";"No";"49.9%";"0.7%";"49.4%";"0%";"10%";"1.6%";"7.3%";"0.2%";"11.6%";"69.4%";"3.2%";"0%";"0.9%";"7.5%";"0%";"0.5%";"0.9%";"6.8%";"17.7%";"88%";"55%";"89%";"71%";"89%";"84%";"75%";"87%";"82%";"56%";"87%";"79%";"No";"No";"No";"No";"No";"No";0,216;0,329;"11.6%";"2%";"22%";"48.3%";"0.3%";"40%";"11.5%"
"8";"Broadview-Thomson K-8 ";"BroadviewThomsonK8School";3,1;3;612;566;"92.5%";"-2.2%";"0%";"Yes";"50.7%";"0.9%";"48.4%";"1.8%";"6.2%";"24.7%";"24.2%";"0.2%";"9.5%";"33.4%";"23.1%";"0%";"3.7%";"56%";"0%";"0.5%";"3.4%";"3.4%";"18.9%";"82%";"60%";"86%";"76%";"90%";"84%";"79%";"86%";"82%";"69%";"87%";"81%";"No";"No";"No";"Yes";"No";"Yes";0,62;0,652;"16.2%";"7.9%";"37.8%";"0%";"0%";"0%";"0%"
"9";"Bryant  ";"BryantElementarySchool";2,7;0;462;484;"104.8%";"-1.1%";"-3.5%";"No";"48.3%";"1.2%";"50.4%";"0%";"13.6%";"0.2%";"5.4%";"0%";"16.3%";"64.5%";"4.1%";"0%";"0.2%";"4.8%";"0%";"0.4%";"0.6%";"3.3%";"6.8%";"86%";"47%";"92%";"79%";"88%";"88%";"76%";"87%";"88%";"61%";"90%";"78%";"No";"No";"No";"No";"No";"No";0,265;0,337;"13%";"3.6%";"30.4%";"0%";"85.9%";"14.1%";"0%"
"10";"Cascadia ";"CascadiaElementary";1,13;0;550;489;"88.9%";"-1.8%";"-1.1%";"No";"42.1%";"0.6%";"57.3%";"0.2%";"20.2%";"3.5%";"8.6%";"0.4%";"18.8%";"48.3%";"0%";"0%";"0.4%";"11%";"0%";"0.8%";"1.4%";"7.6%";"13.3%";"82%";"49%";"90%";"74%";"85%";"89%";"77%";"83%";"85%";"66%";"86%";"76%";"No";"Yes";"No";"No";"No";"No";NA;NA;"0%";"0%";"0%";"0%";"0%";"0%";"0%"
