"";"SchoolName";"SchoolYr";"Enrollment";"Female";"Gender X";"Male";"American Indian/ Alaskan Native";"Asian";"Black/ African American";"Hispanic/ Latino of any race(s)";"Native Hawaiian/ Other Pacific Islander";"Two or More Races";"White";"English Language Learners";"Foster Care";"Homeless";"Low-Income";"Migrant";"Military Parent";"Mobile";"Section 504";"Students with Disabilities";"MatchName";"Right-Sized Capacity";"% Capacity"
"1";"Adams Elementary School";2013;514;0,474708171206226;0;0,525291828793774;0,00583657587548638;0,046692607003891;0,0778210116731518;0,1284046692607;0,00194552529182879;0,0797665369649805;0,657587548638132;0,0933852140077821;0,00778210116731518;0,00778210116731518;0,237354085603113;0,00194552529182879;0;0,0175097276264591;0,00583657587548638;0,143968871595331;"AdamsElementarySchool";396;1,2979797979798
"2";"Alki Elementary School";2013;393;0,44529262086514;0;0,55470737913486;0,0127226463104326;0,0585241730279898;0,111959287531807;0,0763358778625954;0;0,0814249363867685;0,656488549618321;0,0203562340966921;0;0,0101781170483461;0,249363867684478;0;0;0,0279898218829517;0,0127226463104326;0,119592875318066;"AlkiElementarySchool";330;1,19090909090909
"3";"Arbor Heights Elementary School";2013;361;0,490304709141274;0;0,509695290858726;0,0110803324099723;0,0637119113573407;0,113573407202216;0,105263157894737;0,00277008310249307;0,102493074792244;0,598337950138504;0,038781163434903;0,00554016620498615;0,0138504155124654;0,398891966759003;0;0;0,00831024930747922;0,00831024930747922;0,246537396121884;"ArborHeightsElementarySchool";550;0,656363636363636
"4";"B F Day Elementary School";2013;320;0,478125;0;0,521875;0,009375;0,146875;0,1125;0,115625;0;0,115625;0,5;0,1375;0,003125;0,0375;0,3875;0,00625;0;0,0375;0;0,175;"BFDayElementarySchool";352;0,909090909090909
"5";"Bailey Gatzert Elementary School";2013;394;0,472081218274112;0;0,527918781725888;0,00761421319796954;0,16751269035533;0,532994923857868;0,1751269035533;0,00761421319796954;0,0685279187817259;0,0406091370558376;0,398477157360406;0,0050761421319797;0,1751269035533;0,934010152284264;0,00253807106598985;0;0,0685279187817259;0;0,185279187817259;"BaileyGatzertElementarySchool";300;1,31333333333333
"6";"Beacon Hill International School";2013;465;0,455913978494624;0;0,544086021505376;0,0043010752688172;0,316129032258064;0,0666666666666667;0,38494623655914;0,0021505376344086;0,0774193548387097;0,146236559139785;0,440860215053763;0,0021505376344086;0,0172043010752688;0,610752688172043;0,0021505376344086;0;0,0150537634408602;0;0,126881720430108;"BeaconHillInternationalSchool";360;1,29166666666667
"7";"Broadview-Thomson K-8 School";2013;709;0,482369534555712;0;0,517630465444288;0,0112834978843441;0,1212976022567;0,244005641748942;0,229901269393512;0,00282087447108604;0,0944992947813822;0,296191819464034;0,176304654442877;0,00846262341325811;0,0380818053596615;0,644569816643159;0,0141043723554302;0;0,0380818053596615;0,0338504936530324;0,208744710860367;"BroadviewThomsonK8School";612;1,15849673202614
"8";"Bryant Elementary School";2013;586;0,54778156996587;0;0,45221843003413;0,00341296928327645;0,083617747440273;0,00341296928327645;0,0597269624573379;0;0,0853242320819113;0,764505119453925;0,0102389078498294;0,00170648464163823;0,00341296928327645;0,0699658703071672;0,00341296928327645;0;0,00341296928327645;0,00170648464163823;0,083617747440273;"BryantElementarySchool";462;1,26839826839827
"9";"Cascadia Elementary";2013;596;0,464765100671141;0;0,535234899328859;0;0,125838926174497;0,00335570469798658;0,0218120805369128;0;0,0973154362416107;0,751677852348993;0;0;0;0,0184563758389262;0;0;0,00503355704697987;0,0218120805369128;0,063758389261745;"CascadiaElementary";550;1,08363636363636
"10";"Catharine Blaine K-8 School";2013;631;0,491283676703645;0;0,508716323296355;0,0063391442155309;0,0681458003169572;0,0221870047543582;0,0618066561014263;0,00316957210776545;0,10459587955626;0,732171156893819;0;0,00158478605388273;0,0110935023771791;0,10459587955626;0;0;0,00950871632329636;0,00475435816164818;0,150554675118859;"CatharineBlaineK8School";595;1,06050420168067
"11";"Concord International School";2013;443;0,465011286681716;0;0,534988713318284;0,0090293453724605;0,0880361173814898;0,106094808126411;0,62979683972912;0,00677200902934537;0,0406320541760722;0,117381489841986;0,395033860045147;0,00225733634311512;0,0474040632054176;0,790067720090293;0;0;0,036117381489842;0,00677200902934537;0,18961625282167;"ConcordInternationalSchool";320;1,384375
"12";"Daniel Bagley Elementary School";2013;398;0,512562814070352;0;0,487437185929648;0,00251256281407035;0,0904522613065327;0,0452261306532663;0,0954773869346734;0;0,0979899497487437;0,668341708542714;0,00251256281407035;0;0,0125628140703518;0,185929648241206;0;0;0,0226130653266332;0,00251256281407035;0,135678391959799;"DanielBagleyElementarySchool";503;0,791252485089463
"13";"Dearborn Park International School";2013;344;0,456395348837209;0;0,543604651162791;0,0116279069767442;0,424418604651163;0,311046511627907;0,125;0,00872093023255814;0,0726744186046512;0,0465116279069767;0,299418604651163;0;0,0406976744186047;0,869186046511628;0,00290697674418605;0;0,0406976744186047;0;0,119186046511628;"DearbornParkInternationalSchool";340;1,01176470588235
"14";"Dunlap Elementary School";2013;438;0,484018264840183;0;0,515981735159817;0,00228310502283105;0,214611872146119;0,518264840182648;0,184931506849315;0,00684931506849315;0,0388127853881279;0,0251141552511416;0,392694063926941;0,00228310502283105;0,0662100456621005;0,856164383561644;0;0;0,0570776255707763;0;0,19634703196347;"DunlapElementarySchool";340;1,28823529411765
"15";"Emerson Elementary School";2013;296;0,489864864864865;0;0,510135135135135;0,00337837837837838;0,219594594594595;0,5;0,141891891891892;0,00675675675675676;0,10472972972973;0,0236486486486486;0,273648648648649;0,00675675675675676;0,0371621621621622;0,831081081081081;0;0;0,0844594594594595;0;0,155405405405405;"EmersonElementarySchool";340;0,870588235294118
"16";"Frantz Coe Elementary School";2013;508;0,531496062992126;0;0,468503937007874;0,00393700787401575;0,078740157480315;0,0393700787401575;0,125984251968504;0,00393700787401575;0,0452755905511811;0,702755905511811;0,110236220472441;0;0,00590551181102362;0,19488188976378;0;0;0,015748031496063;0,00393700787401575;0,133858267716535;"FrantzCoeElementarySchool";418;1,21531100478469
"17";"Gatewood Elementary School";2013;498;0,51004016064257;0;0,48995983935743;0,00200803212851406;0,0441767068273092;0,142570281124498;0,132530120481928;0,00602409638554217;0,0843373493975904;0,588353413654618;0,104417670682731;0,00401606425702811;0,0220883534136546;0,363453815261044;0,00200803212851406;0;0,0481927710843374;0;0,142570281124498;"GatewoodElementarySchool";330;1,50909090909091
"18";"Genesee Hill Elementary";2013;576;0,501736111111111;0;0,498263888888889;0,00173611111111111;0,0607638888888889;0,0173611111111111;0,078125;0,00520833333333333;0,0868055555555556;0,75;0,00173611111111111;0;0,00347222222222222;0,107638888888889;0;0;0,00694444444444444;0,0121527777777778;0,100694444444444;"GeneseeHillElementary";594;0,96969696969697
"19";"Graham Hill Elementary School";2013;396;0,515151515151515;0;0,484848484848485;0,00252525252525253;0,227272727272727;0,363636363636364;0,143939393939394;0,00252525252525253;0,0883838383838384;0,171717171717172;0,303030303030303;0,00252525252525253;0,0505050505050505;0,684343434343434;0,00757575757575758;0;0,047979797979798;0;0,138888888888889;"GrahamHillElementarySchool";320;1,2375
"20";"Green Lake Elementary School";2013;261;0,478927203065134;0;0,521072796934866;0,00766283524904215;0,0459770114942529;0,0191570881226054;0,0651340996168582;0;0,0881226053639847;0,773946360153257;0,00383141762452107;0,00383141762452107;0,00766283524904215;0,191570881226054;0;0;0,0306513409961686;0,0229885057471264;0,145593869731801;"GreenLakeElementarySchool";330;0,790909090909091
"21";"Greenwood Elementary School";2013;384;0,463541666666667;0;0,536458333333333;0,0104166666666667;0,0625;0,0755208333333333;0,130208333333333;0,00260416666666667;0,0963541666666667;0,619791666666667;0;0,0130208333333333;0,0208333333333333;0,231770833333333;0,00260416666666667;0;0,0182291666666667;0,00520833333333333;0,192708333333333;"GreenwoodElementarySchool";330;1,16363636363636
